UnixTimestamp,Timestamp,RecordingTime,SceneTime,SceneID,NodeID,GazeIndex,GazeOriginLocalX,GazeOriginLocalY,GazeOriginLocalZ,GazeDirectionLocalX,GazeDirectionLocalY,GazeDirectionLocalZ,GazeOriginWorldX,GazeOriginWorldY,GazeOriginWorldZ,GazeDirectionWorldX,GazeDirectionWorldY,GazeDirectionWorldZ,HitPointX,HitPointY,HitPointZ,HitDistance,HitObjectName,HitObjectTag,LeftPupilDiameter,RightPupilDiameter,LeftEyeOpenness,RightEyeOpenness,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationEulerX,HMDRotationEulerY,HMDRotationEulerZ,CameraFOV_V,CameraFOV_H,CameraNearClip,CameraFarClip,CameraAspectRatio,CameraPixelWidth,CameraPixelHeight,CameraFocalLength,TaskHintPanel,HitObjectVariant,HitNormalX,HitNormalY,HitNormalZ,GazeValid,GazeHit
1766034832520,2025-12-18 13:13:52.520,662.980300,2.054504,23,15,2,0.002504,0.005766,-0.045584,0.111969,0.237503,0.964905,-25.496430,1.614606,26.895980,-0.976151,0.199406,0.085744,-42.0689278,5,28.3516903,16.9772701,Building,Surface,3.919266,4.058136,42.303900,0.000000,-25.541670,1.607113,26.892130,2.201467,268.352800,359.565000,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766034832531,2025-12-18 13:13:52.531,662.991300,2.065552,23,15,2,0.002203,0.005622,-0.045327,0.101181,0.240799,0.965271,-25.496850,1.614419,26.895800,-0.976022,0.203473,0.077130,-41.7368469,5,28.1791649,16.6387119,Building,Surface,3.752823,3.942322,10.325490,0.000000,-25.541860,1.607107,26.892360,2.162376,268.484900,359.587900,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766034832542,2025-12-18 13:13:52.542,663.002400,2.076599,23,15,2,0.002203,0.005622,-0.045327,0.101181,0.240799,0.965271,-25.497010,1.614425,26.895940,-0.975734,0.203927,0.079543,-41.6960449,5,28.2165146,16.6016502,Building,Surface,3.752823,3.942322,10.325490,0.000000,-25.542030,1.607133,26.892620,2.136692,268.628900,359.597900,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766034832553,2025-12-18 13:13:52.553,663.013800,2.088013,23,15,2,-0.008501,0.006475,-0.045587,0.121246,0.239410,0.963303,-25.496740,1.615391,26.885400,-0.973869,0.202597,0.102487,-41.766304,5,28.597559,16.705864,Building,Surface,3.890579,4.142471,0.649249,0.000000,-25.542220,1.607167,26.892900,2.128570,268.794700,359.591900,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766034832564,2025-12-18 13:13:52.564,663.024600,2.098816,23,15,2,0.002203,0.005622,-0.045327,0.101181,0.240799,0.965271,-25.497420,1.614456,26.896250,-0.975126,0.204131,0.086195,-41.6700287,5,28.3258057,16.5849018,Building,Surface,3.752823,3.942322,2.565869,0.000000,-25.542460,1.607175,26.893230,2.122632,269.014600,359.578100,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766034832575,2025-12-18 13:13:52.575,663.035800,2.109985,23,15,2,0.031383,0.004486,-0.047247,-0.022934,0.091248,0.995560,-25.496020,1.613177,26.925650,-0.997878,0.054683,-0.035213,,,,,NoHit,NoHit,3.258743,3.734802,40.801960,0.000000,-25.542670,1.607176,26.893630,2.110451,269.258000,359.594500,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,,,,1,0
1766034832585,2025-12-18 13:13:52.585,663.046800,2.120972,23,15,2,0.031383,0.004486,-0.047247,-0.022934,0.091248,0.995560,-25.496050,1.613179,26.925950,-0.998024,0.054986,-0.030281,,,,,NoHit,NoHit,3.258743,3.734802,40.801960,0.000000,-25.542860,1.607165,26.894170,2.091908,269.545900,359.646900,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,,,,1,0
1766034832597,2025-12-18 13:13:52.597,663.058000,2.132202,23,15,2,0.000029,0.005782,-0.045503,0.100281,0.241577,0.965179,-25.497780,1.614623,26.894860,-0.973568,0.205847,0.098898,-41.5091629,5,28.5213394,16.4459877,Building,Surface,3.754929,3.831741,41.050970,0.000000,-25.543040,1.607195,26.894670,2.078668,269.839400,359.680300,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766034832608,2025-12-18 13:13:52.608,663.069000,2.143250,23,15,2,0.002203,0.005622,-0.045327,0.101181,0.240799,0.965271,-25.498090,1.614473,26.897300,-0.972971,0.205793,0.104626,-41.5045624,5,28.6185074,16.450882,Building,Surface,3.752823,3.942322,672.815600,0.000000,-25.543200,1.607255,26.895170,2.037189,270.127600,359.695700,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766034832619,2025-12-18 13:13:52.619,663.080200,2.154419,23,15,2,0.002203,0.005622,-0.045327,0.101181,0.240799,0.965271,-25.498280,1.614602,26.897540,-0.972336,0.206346,0.109334,-41.4508247,5,28.6913185,16.4061661,Building,Surface,3.752823,3.942322,672.815600,0.000000,-25.543400,1.607411,26.895620,2.003235,270.401700,359.682300,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766034832630,2025-12-18 13:13:52.630,663.091200,2.165466,23,15,0,0.031220,0.004802,-0.047874,-0.059631,-0.044983,0.997192,-25.495530,1.613793,26.926780,-0.995727,-0.078740,-0.047955,-45.9031677,-1.67057835E-14,25.9439335,20.4949245,Building,Surface,2.770309,1.835648,10.325000,0.000000,-25.543590,1.607549,26.896100,1.962863,270.688100,359.643200,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,1,6.43918682E-16,1,1
1766034832641,2025-12-18 13:13:52.641,663.102300,2.176514,23,15,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,InvalidGaze,InvalidGaze,0.000000,0.000000,0.000000,0.000000,-25.543790,1.607653,26.896650,1.887287,271.011700,359.614600,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,,,,0,0
1766034832652,2025-12-18 13:13:52.652,663.113300,2.187561,23,15,2,0.002203,0.005622,-0.045327,0.101181,0.240799,0.965271,-25.498820,1.614846,26.898410,-0.969641,0.209231,0.126449,-41.1866684,5,28.9442368,16.1787891,Building,Surface,3.752823,3.942322,2675.450000,0.000000,-25.543990,1.607798,26.897270,1.825934,271.394900,359.612500,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766034832663,2025-12-18 13:13:52.663,663.124500,2.198730,23,15,2,0.002203,0.005622,-0.045327,0.101181,0.240799,0.965271,-25.498990,1.614951,26.898820,-0.968411,0.210254,0.133950,-41.0902214,5,29.0553894,16.0995617,Building,Surface,3.752823,3.942322,2675.450000,0.000000,-25.544170,1.607947,26.898040,1.769217,271.847200,359.646400,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
