Timestamp,UnixTimestamp,RecordingTime(s),SceneTime(s),NodeID,TargetID,PositionX,PositionY,PositionZ,DecTime(s)
2025-12-30 15:18:58.326,1767079138326,882.6984,2.052979,1,0,-85.6000,0.0000,67.1000,6.2610
2025-12-30 15:19:04.587,1767079144587,888.9623,8.316956,2,0,-74.4000,0.0000,66.8000,3.4100
2025-12-30 15:19:07.997,1767079147997,892.3721,11.726680,3,0,-54.9000,0.0000,68.3000,2.4090
2025-12-30 15:19:10.406,1767079150406,894.7819,14.136470,4,0,-38.5000,0.0000,67.4000,2.9770
2025-12-30 15:19:13.383,1767079153383,897.7583,17.112920,6,0,-22.9000,0.0000,65.8000,0.3340
2025-12-30 15:19:13.717,1767079153717,898.0919,17.446530,0,29,-10.2500,0.0000,66.1200,0.0000
