Timestamp,UnixTimestamp,RecordingTime(s),SceneTime(s),NodeID,TargetID,PositionX,PositionY,PositionZ,DecTime(s)
2025-12-21 11:03:10.073,1766286190073,1803.7760,2.048950,1,0,-85.6000,0.1300,67.1000,6.4840
2025-12-21 11:03:16.557,1766286196557,1810.2620,8.534790,2,0,-74.4000,0.1300,66.8000,2.6540
2025-12-21 11:03:19.211,1766286199211,1812.9160,11.189090,3,0,-54.9000,0.1300,68.3000,4.2310
2025-12-21 11:03:23.442,1766286203442,1817.1480,15.420650,4,0,-38.5000,0.1300,67.4000,2.7780
2025-12-21 11:03:26.220,1766286206220,1819.9240,18.197020,6,0,-22.9000,0.1300,65.8000,37.4150
2025-12-21 11:04:03.635,1766286243635,1857.3410,55.613650,0,29,-10.2500,0.0000,66.1200,0.0000
