TaskOrder,ParticipantID,SourceFile,Timestamp,FrameIndex,SceneID,NodeID,GazeValid,HitStatus,Category,ObjectName,HitPointX,HitPointY,HitPointZ,HitDistance,DeltaTime,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
46,Eye_ID2551027_Task46_1766991473239,Eye_ID2551027_Task46_1766991473239.csv,1579.471,2638,23,12,1,ValidHit,ground,ground,-68.0862274,-1.07738534E-14,16.7316971,27.6840096,0.0109999999,-50.9933205,1.64511096,38.4464493,-0.617422998,-0.0594240017,-0.784371018
46,Eye_ID2551027_Task46_1766991473239,Eye_ID2551027_Task46_1766991473239.csv,1579.482,2639,23,12,1,ValidHit,ground,ground,-67.9790726,-1.08358299E-14,16.8279457,27.5428333,0.0109999999,-50.9921684,1.64525104,38.4461288,-0.616742015,-0.0597340018,-0.784889996
46,Eye_ID2551027_Task46_1766991473239,Eye_ID2551027_Task46_1766991473239.csv,1579.4929999999999,2640,23,12,1,ValidHit,ground,ground,-68.5776672,-1.02799747E-14,15.9647083,28.58992,0.0109999999,-50.9911003,1.64530003,38.4455719,-0.615128994,-0.0575480014,-0.786318004
46,Eye_ID2551027_Task46_1766991473239,Eye_ID2551027_Task46_1766991473239.csv,1579.5039999999999,2641,23,12,1,ValidHit,ground,ground,-66.5052185,-1.03868728E-14,16.1307201,27.2246265,0.0109999999,-50.9820213,1.64392304,38.4356117,-0.570182979,-0.0603829995,-0.819281995
46,Eye_ID2551027_Task46_1766991473239,Eye_ID2551027_Task46_1766991473239.csv,1579.5150000000001,2642,23,12,1,ValidHit,ground,ground,-70.7361298,-8.3190875E-15,12.9194689,32.3134766,0.0109999999,-50.9889984,1.645419,38.4440498,-0.611105025,-0.0509199984,-0.789897025
46,Eye_ID2551027_Task46_1766991473239,Eye_ID2551027_Task46_1766991473239.csv,1579.5260000000001,2643,23,12,1,ValidHit,ground,ground,-71.5573578,-7.55820713E-15,11.7378283,33.749054,0.0109999999,-50.9878082,1.64561999,38.4433403,-0.60947901,-0.0487600006,-0.791288972
46,Eye_ID2551027_Task46_1766991473239,Eye_ID2551027_Task46_1766991473239.csv,1579.537,2644,23,12,1,ValidHit,ground,ground,-71.538681,-7.52973835E-15,11.6936159,33.7730865,0.0109999999,-50.9865494,1.64590394,38.4428711,-0.608533025,-0.0487340018,-0.792025983
46,Eye_ID2551027_Task46_1766991473239,Eye_ID2551027_Task46_1766991473239.csv,1579.548,2645,23,12,1,ValidHit,ground,ground,-65.0686874,-6.77731263E-15,10.5251055,31.317646,0.0120000001,-51.0005989,1.64863598,38.4565582,-0.449203014,-0.052641999,-0.891869009
46,Eye_ID2551027_Task46_1766991473239,Eye_ID2551027_Task46_1766991473239.csv,1579.5599999999999,2646,23,12,1,ValidHit,ground,ground,-62.6846008,-6.35963391E-15,9.87645435,30.9262848,0.0109999999,-51.0115585,1.65100503,38.4675217,-0.377445996,-0.0533850007,-0.924488008
46,Eye_ID2551027_Task46_1766991473239,Eye_ID2551027_Task46_1766991473239.csv,1579.5709999999999,2647,23,12,1,ValidHit,ground,ground,-62.9734535,-5.76642624E-15,8.95520782,31.8866825,0.0109999999,-51.0104408,1.65151405,38.4665489,-0.375171006,-0.0517930016,-0.925503016
