SceneID,SelectedTaskOrders,SelectedNodeIDs,NodeID,Category,ObjectName,MedianProportion,MeanProportion,Q1Proportion,Q3Proportion,MedianDuration,HitRate,TrialCount,ValidTrialCount
23,23;69;115,12,12,commercial,C1,0,0,0,0,0,0,10,10
23,23;69;115,12,12,commercial,C2,0.0233839788,0.039810136,0,0.0695121959,0.0889350027,0.600000024,10,10
23,23;69;115,12,12,commercial,C3,0.135707244,0.170422435,0.0463365875,0.292046517,0.399794966,0.899999976,10,10
23,23;69;115,12,12,commercial,C4,0,0.00134895765,0,0,0,0.100000001,10,10
23,23;69;115,12,12,commercial,C5,0,0.00994973909,0,0.0100677088,0,0.300000012,10,10
23,23;69;115,12,12,commercial,C6,0,0.0203471631,0,0,0,0.200000003,10,10
23,23;69;115,12,12,entrance,E1,0,0.000547128613,0,0,0,0.100000001,10,10
23,23;69;115,12,12,entrance,E2,0,0.0289507974,0,0,0,0.200000003,10,10
23,23;69;115,12,12,entrance,E3E4,0,0,0,0,0,0,10,10
23,23;69;115,12,12,entrance,E5,0.301709205,0.287418038,0.189731762,0.410378158,0.828049898,1,10,10
23,23;69;115,12,12,ground,ground,0.161134899,0.224896401,0.0176605098,0.279457122,0.560800016,0.899999976,10,10
23,23;69;115,12,12,other,other,0,0.021909371,0,0.0132915741,0,0.400000006,10,10
23,23;69;115,12,12,roof,roof,0.073629953,0.120540112,0.0409695059,0.133233607,0.304700017,0.800000012,10,10
23,23;69;115,12,12,signage,HS-02,0,0.0130690718,0,0,0,0.200000003,10,10
23,23;69;115,12,12,signage,HS-05,0.0418496318,0.0606687777,0.0190650076,0.0812597945,0.144749999,0.899999976,10,10
23,23;69;115,12,12,signage,SS-01,0,0.000121627316,0,0,0,0.100000001,10,10
