SceneID,SelectedTaskOrders,SelectedNodeIDs,NodeID,Category,ObjectName,MedianProportion,MeanProportion,Q1Proportion,Q3Proportion,MedianDuration,HitRate,TrialCount,ValidTrialCount
23,69,12,12,commercial,C1,0,0,0,0,0,0,1,1
23,69,12,12,commercial,C2,0.056501437,0.056501437,0.056501437,0.056501437,0.511000156,1,1,1
23,69,12,12,commercial,C3,0.00729763927,0.00729763927,0.00729763927,0.00729763927,0.0659999996,1,1,1
23,69,12,12,commercial,C4,0.0134895761,0.0134895761,0.0134895761,0.0134895761,0.122000001,1,1,1
23,69,12,12,commercial,C5,0.0528526157,0.0528526157,0.0528526157,0.0528526157,0.478000164,1,1,1
23,69,12,12,commercial,C6,0.0897830352,0.0897830352,0.0897830352,0.0897830352,0.811999619,1,1,1
23,69,12,12,entrance,E1,0,0,0,0,0,0,1,1
23,69,12,12,entrance,E2,0.136112019,0.136112019,0.136112019,0.136112019,1.23099995,1,1,1
23,69,12,12,entrance,E3E4,0,0,0,0,0,0,1,1
23,69,12,12,entrance,E5,0.0160326939,0.0160326939,0.0160326939,0.0160326939,0.145000011,1,1,1
23,69,12,12,ground,ground,0.505306065,0.505306065,0.505306065,0.505306065,4.56999874,1,1,1
23,69,12,12,other,other,0.00243254635,0.00243254635,0.00243254635,0.00243254635,0.0219999999,1,1,1
23,69,12,12,roof,roof,0.0391418897,0.0391418897,0.0391418897,0.0391418897,0.354000062,1,1,1
23,69,12,12,signage,HS-02,0.0773991942,0.0773991942,0.0773991942,0.0773991942,0.699999928,1,1,1
23,69,12,12,signage,HS-05,0.00243254635,0.00243254635,0.00243254635,0.00243254635,0.0219999999,1,1,1
23,69,12,12,signage,SS-01,0.00121627317,0.00121627317,0.00121627317,0.00121627317,0.0109999999,1,1,1
