Timestamp,UnixTimestamp,RecordingTime(s),SceneTime(s),NodeID,TargetID,PositionX,PositionY,PositionZ,DecTime(s)
2025-12-16 14:21:43.636,1765866103636,1660.8260,2.042114,10,0,-22.5000,0.1200,44.7000,4.8960
2025-12-16 14:21:48.532,1765866108532,1665.7230,6.939819,9,0,-32.1000,0.1200,49.4000,3.8980
2025-12-16 14:21:52.430,1765866112430,1669.6210,10.838010,8,0,-39.1000,0.1200,52.3000,8.8190
2025-12-16 14:22:01.249,1765866121249,1677.8360,19.052860,11,0,-49.8000,0.1200,46.2000,4.1200
2025-12-16 14:22:05.369,1765866125369,1681.4770,22.693850,26,0,-60.7000,0.1200,46.8000,3.6540
2025-12-16 14:22:09.023,1765866129023,1684.5280,25.744260,28,0,-77.6000,0.1200,44.5000,7.5630
2025-12-16 14:22:16.586,1765866136586,1691.5820,32.798100,23,0,-77.8000,0.1200,25.0900,11.0290
2025-12-16 14:22:27.615,1765866147615,1701.9520,43.168820,24,0,-74.5000,0.1200,42.0000,2.8980
2025-12-16 14:22:30.513,1765866150513,1704.8510,46.067500,26,0,-60.7000,0.1200,46.8000,3.1770
2025-12-16 14:22:33.690,1765866153690,1707.5290,48.745480,7,0,-44.1000,0.1200,58.4000,3.6200
2025-12-16 14:22:37.310,1765866157310,1710.5850,51.801510,3,0,-54.9000,0.1200,68.3000,3.2880
2025-12-16 14:22:40.598,1765866160598,1713.4190,54.635380,2,0,-74.4000,0.1200,66.8000,3.1430
2025-12-16 14:22:43.741,1765866163741,1716.0000,57.216800,1,0,-85.6000,0.1200,67.1000,0.7100
2025-12-16 14:22:44.451,1765866164451,1716.7110,57.927610,0,9,-94.5700,0.0000,67.2600,0.0000
