Timestamp,UnixTimestamp,RecordingTime(s),SceneTime(s),NodeID,TargetID,PositionX,PositionY,PositionZ,DecTime(s)
2025-12-15 16:12:22.309,1765786342309,91.2227,2.035789,10,0,-22.5000,0.1500,44.7000,14.5450
2025-12-15 16:12:36.854,1765786356854,105.7714,16.584530,9,0,-32.1000,0.1500,49.4000,8.0410
2025-12-15 16:12:44.895,1765786364895,113.8125,24.625580,8,0,-39.1000,0.1500,52.3000,5.2530
2025-12-15 16:12:50.148,1765786370148,118.4661,29.279230,7,0,-44.1000,0.1500,58.4000,3.4980
2025-12-15 16:12:53.646,1765786373646,121.5030,32.316120,3,0,-54.9000,0.1500,68.3000,5.1200
2025-12-15 16:12:58.766,1765786378766,125.9719,36.785050,2,0,-74.4000,0.1500,66.8000,6.9420
2025-12-15 16:13:05.708,1765786385708,132.3912,43.204320,1,0,-85.6000,0.1500,67.1000,0.6120
2025-12-15 16:13:06.320,1765786386320,133.0019,43.815010,0,9,-94.5700,0.0000,67.2600,0.0000
