UnixTimestamp,Timestamp,RecordingTime,SceneTime,SceneID,NodeID,GazeIndex,GazeOriginLocalX,GazeOriginLocalY,GazeOriginLocalZ,GazeDirectionLocalX,GazeDirectionLocalY,GazeDirectionLocalZ,GazeOriginWorldX,GazeOriginWorldY,GazeOriginWorldZ,GazeDirectionWorldX,GazeDirectionWorldY,GazeDirectionWorldZ,HitPointX,HitPointY,HitPointZ,HitDistance,HitObjectName,HitObjectTag,LeftPupilDiameter,RightPupilDiameter,LeftEyeOpenness,RightEyeOpenness,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationEulerX,HMDRotationEulerY,HMDRotationEulerZ,CameraFOV_V,CameraFOV_H,CameraNearClip,CameraFarClip,CameraAspectRatio,CameraPixelWidth,CameraPixelHeight,CameraFocalLength,TaskHintPanel,HitObjectVariant,HitNormalX,HitNormalY,HitNormalZ,GazeValid,GazeHit
1766715105100,2025-12-26 10:11:45.100,1003.251000,2.065491,23,1,2,-0.013971,0.004631,-0.035478,0.283936,0.565872,0.774048,-85.259360,1.630182,66.772670,-0.720654,0.614755,0.320491,-96.2432404,11,71.6574402,15.2413988,Building,Surface,3.934540,3.249481,10.325490,0.000000,-85.293880,1.627878,66.789350,356.931600,274.203100,1.721151,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105110,2025-12-26 10:11:45.110,1003.262000,2.076599,23,1,2,-0.020791,0.003814,-0.034488,0.222382,0.501740,0.835922,-85.260530,1.629338,66.766110,-0.789533,0.553203,0.265642,-98.6343689,11,71.2658005,16.9385967,Building,Surface,3.444351,3.376984,10.387740,0.000000,-85.293520,1.628046,66.789480,356.865200,274.202600,1.737390,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105121,2025-12-26 10:11:45.121,1003.273000,2.087585,23,1,2,-0.020791,0.003814,-0.034488,0.222382,0.501740,0.835922,-85.260190,1.629427,66.766220,-0.788694,0.554392,0.265657,-98.5910416,11,71.2564697,16.9021149,Building,Surface,3.444351,3.376984,10.387740,0.000000,-85.293180,1.628186,66.789600,356.779800,274.205800,1.733799,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105133,2025-12-26 10:11:45.133,1003.284000,2.098755,23,1,2,-0.017066,0.003952,-0.034758,0.234940,0.503342,0.831513,-85.259240,1.629763,66.770060,-0.782682,0.556945,0.277821,-98.4273529,11,71.4442139,16.8240414,Building,Surface,3.437012,3.370285,10.263230,0.000000,-85.292780,1.628321,66.789750,356.718200,274.204100,1.723376,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105143,2025-12-26 10:11:45.143,1003.295000,2.109741,23,1,2,-0.010884,0.004811,-0.035735,0.297836,0.585236,0.754166,-85.257350,1.630845,66.776310,-0.695751,0.636846,0.332162,-95.493103,11,71.6630173,14.7116127,Building,Surface,3.824661,3.344742,664.800000,0.000000,-85.292380,1.628453,66.789940,356.657500,274.209800,1.714628,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105155,2025-12-26 10:11:45.155,1003.306000,2.120850,23,1,2,-0.008872,0.004987,-0.036343,0.289551,0.576447,0.764099,-85.256200,1.631096,66.778450,-0.705910,0.629122,0.325383,-95.7686386,10.999999,71.6240616,14.8918638,Building,Surface,3.644638,3.369614,0.645328,0.000000,-85.291990,1.628543,66.790130,356.588000,274.221500,1.679108,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105165,2025-12-26 10:11:45.165,1003.318000,2.131958,23,1,2,-0.008872,0.004987,-0.036343,0.289551,0.576447,0.764099,-85.255780,1.631170,66.778690,-0.705032,0.629773,0.326027,-95.7442017,10.999999,71.62883,14.8763514,Building,Surface,3.644638,3.369614,0.645328,0.000000,-85.291580,1.628652,66.790380,356.522300,274.246100,1.640334,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105176,2025-12-26 10:11:45.176,1003.329000,2.143127,23,1,2,-0.010455,0.004978,-0.036526,0.291321,0.577927,0.762314,-85.255310,1.631227,66.777350,-0.702290,0.631773,0.328085,-95.6697998,11,71.6426315,14.8292456,Building,Surface,3.655853,3.262070,0.660953,0.000000,-85.291160,1.628806,66.790650,356.464800,274.263200,1.609783,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105187,2025-12-26 10:11:45.187,1003.340000,2.154236,23,1,2,-0.009994,0.004971,-0.036525,0.287537,0.566742,0.772080,-85.254860,1.631303,66.778100,-0.711941,0.621797,0.326328,-95.9817734,11,71.6949234,15.0669918,Building,Surface,3.675537,3.227417,10.387250,0.000000,-85.290740,1.628913,66.790950,356.394200,274.304900,1.563459,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105200,2025-12-26 10:11:45.200,1003.351000,2.165344,23,1,2,-0.009994,0.004971,-0.036525,0.287537,0.566742,0.772080,-85.254400,1.631398,66.778460,-0.711029,0.622279,0.327394,-95.9591599,11,71.7074738,15.0551596,Building,Surface,3.675537,3.227417,10.387250,0.000000,-85.290280,1.629035,66.791340,356.334400,274.346600,1.503824,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105210,2025-12-26 10:11:45.210,1003.362000,2.176392,23,1,2,0.009622,0.005475,-0.036954,0.382614,0.580368,0.718857,-85.251920,1.632495,66.798310,-0.648594,0.635333,0.419110,-94.814949,11,72.9777679,14.7440634,Building,Surface,3.742020,3.209595,165.215600,0.000000,-85.289790,1.629199,66.791720,356.266600,274.414300,1.436377,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105222,2025-12-26 10:11:45.222,1003.373000,2.187500,23,1,2,0.004773,0.005206,-0.036459,0.356628,0.589691,0.724609,-85.252430,1.632244,66.793890,-0.654438,0.644848,0.394791,-94.7595062,10.999999,72.5290527,14.5269156,Building,Surface,3.752151,3.329575,668.846700,0.000000,-85.289410,1.629361,66.792130,356.188900,274.477200,1.363131,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105233,2025-12-26 10:11:45.233,1003.384000,2.198608,23,1,2,-0.009994,0.004971,-0.036525,0.287537,0.566742,0.772080,-85.253130,1.631816,66.779590,-0.707310,0.623918,0.332294,-95.8734512,11,71.7690048,15.0149441,Building,Surface,3.675537,3.227417,2.612743,0.000000,-85.288960,1.629549,66.792590,356.124600,274.579700,1.284724,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105244,2025-12-26 10:11:45.244,1003.395000,2.209656,23,1,2,-0.009994,0.004971,-0.036525,0.287537,0.566742,0.772080,-85.252710,1.631940,66.780000,-0.706070,0.624249,0.334304,-95.8486481,10.999999,71.796875,15.0067844,Building,Surface,3.675537,3.227417,2.612743,0.000000,-85.288520,1.629695,66.793070,356.070500,274.685600,1.209497,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105255,2025-12-26 10:11:45.255,1003.406000,2.220764,23,1,2,0.009622,0.005475,-0.036954,0.382614,0.580368,0.718857,-85.250210,1.632900,66.799900,-0.642929,0.636319,0.426283,-94.7146149,11,73.0751038,14.7205915,Building,Surface,3.742020,3.209595,10.387990,0.000000,-85.288130,1.629811,66.793540,356.022800,274.801000,1.141491,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105266,2025-12-26 10:11:45.266,1003.418000,2.231995,23,1,2,0.006551,0.005240,-0.036481,0.365784,0.593323,0.717041,-85.250560,1.632675,66.797290,-0.640056,0.648919,0.411352,-94.4899445,11,72.7352676,14.4351177,Building,Surface,3.765045,3.307205,0.645374,0.000000,-85.287750,1.629890,66.794040,355.971000,274.941700,1.065505,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105277,2025-12-26 10:11:45.277,1003.429000,2.243164,23,1,2,0.006551,0.005240,-0.036481,0.365784,0.593323,0.717041,-85.250120,1.632748,66.797700,-0.638667,0.649155,0.413134,-94.4660339,11.000001,72.7591934,14.4297543,Building,Surface,3.765045,3.307205,0.645374,0.000000,-85.287320,1.629999,66.794510,355.923900,275.057300,1.014143,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105288,2025-12-26 10:11:45.288,1003.440000,2.254211,23,1,2,0.005306,0.005188,-0.036404,0.360230,0.594162,0.719147,-85.249870,1.632751,66.796920,-0.639802,0.650317,0.409520,-94.4656525,11,72.695694,14.4038782,Building,Surface,3.767838,3.303009,0.645374,0.000000,-85.286880,1.630101,66.795040,355.882100,275.184200,0.978207,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105299,2025-12-26 10:11:45.299,1003.451000,2.265198,23,1,2,0.002874,0.005047,-0.036053,0.357437,0.591721,0.722549,-85.250050,1.632650,66.794920,-0.642322,0.648175,0.408980,-94.5328217,11,72.705452,14.4516888,Building,Surface,3.799606,3.288696,0.010083,0.000000,-85.286480,1.630177,66.795510,355.853800,275.317400,0.938739,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105310,2025-12-26 10:11:45.310,1003.462000,2.276367,23,1,2,-0.000259,0.004877,-0.035731,0.346176,0.597626,0.723175,-85.250260,1.632545,66.792250,-0.642201,0.654093,0.399646,-94.447403,11,72.5157013,14.3211222,Building,Surface,3.889404,3.294220,0.649265,0.000000,-85.286060,1.630293,66.796010,355.815600,275.449800,0.890406,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105321,2025-12-26 10:11:45.321,1003.473000,2.287659,23,1,2,-0.000259,0.004877,-0.035731,0.346176,0.597626,0.723175,-85.249870,1.632598,66.792640,-0.640924,0.654243,0.401448,-94.4265747,10.999999,72.5405426,14.3177662,Building,Surface,3.889404,3.294220,0.649265,0.000000,-85.285660,1.630367,66.796460,355.781300,275.573100,0.846740,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105332,2025-12-26 10:11:45.332,1003.484000,2.298584,23,1,2,-0.000226,0.004827,-0.035562,0.347519,0.599884,0.720657,-85.249710,1.632632,66.793020,-0.636891,0.656355,0.404407,-94.3392944,11,72.5646362,14.271637,Building,Surface,3.925644,3.287003,0.645389,0.000000,-85.285320,1.630453,66.796880,355.757000,275.706000,0.802732,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105344,2025-12-26 10:11:45.344,1003.495000,2.309692,23,1,2,-0.030601,0.007328,-0.045249,0.046310,0.338715,0.939743,-85.242650,1.634091,66.762030,-0.902748,0.408660,0.134282,-99.9999924,8.31450939,68.9571609,16.3470364,Building,Surface,2.974487,2.599670,0.040332,0.000000,-85.284930,1.630575,66.797210,355.709000,275.834200,0.758455,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,1,0,0,1,1
1766715105355,2025-12-26 10:11:45.355,1003.506000,2.320801,23,1,2,-0.000259,0.004877,-0.035731,0.346176,0.597626,0.723175,-85.248850,1.632858,66.793490,-0.636915,0.654807,0.406871,-94.3600464,11,72.6138535,14.3050299,Building,Surface,3.889404,3.294220,0.010084,0.000000,-85.284610,1.630697,66.797540,355.669700,275.950300,0.718714,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
1766715105366,2025-12-26 10:11:45.366,1003.517000,2.331848,23,1,2,-0.000259,0.004877,-0.035731,0.346176,0.597626,0.723175,-85.248570,1.632981,66.793690,-0.635819,0.654985,0.408296,-94.3414917,11,72.632782,14.300952,Building,Surface,3.889404,3.294220,0.010084,0.000000,-85.284320,1.630840,66.797810,355.637500,276.049900,0.684657,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0,-1,0,1,1
