UnixTimestamp,Timestamp,RecordingTime,SceneTime,SceneID,NodeID,GazeIndex,GazeOriginLocalX,GazeOriginLocalY,GazeOriginLocalZ,GazeDirectionLocalX,GazeDirectionLocalY,GazeDirectionLocalZ,GazeOriginWorldX,GazeOriginWorldY,GazeOriginWorldZ,GazeDirectionWorldX,GazeDirectionWorldY,GazeDirectionWorldZ,HitPointX,HitPointY,HitPointZ,HitDistance,HitObjectName,HitObjectTag,LeftPupilDiameter,RightPupilDiameter,LeftEyeOpenness,RightEyeOpenness,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationEulerX,HMDRotationEulerY,HMDRotationEulerZ,CameraFOV_V,CameraFOV_H,CameraNearClip,CameraFarClip,CameraAspectRatio,CameraPixelWidth,CameraPixelHeight,CameraFocalLength,TaskHintPanel,HitObjectVariant,HitNormalX,HitNormalY,HitNormalZ,GazeValid,GazeHit
1765949821768,2025-12-17 13:37:01.768,1017.286000,2.048340,23,10,2,0.000137,0.007128,-0.039200,-0.149704,0.146179,0.977860,-22.972940,1.635373,44.643860,-0.343576,0.315854,-0.884410,-24.0595531,2.63431025,41.8467751,3.16263795,Building,Surface,3.372421,3.077835,751800100.000000,0.000000,-22.993290,1.635453,44.609600,349.578000,210.591000,1.841636,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.393442094,0,0.919349432,1,1
1765949821779,2025-12-17 13:37:01.779,1017.297000,2.059509,23,10,2,-0.019408,0.006350,-0.038692,-0.046814,0.176743,0.983139,-22.956170,1.634288,44.633110,-0.433998,0.350936,-0.829748,-24.3488064,2.76039243,41.9705658,3.20884705,Building,Surface,3.375549,3.136063,11878710.000000,0.000000,-22.993040,1.635693,44.609590,349.527000,210.824000,1.841961,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.393442094,0,0.919349432,1,1
1765949821790,2025-12-17 13:37:01.790,1017.308000,2.070496,23,10,2,-0.019408,0.006350,-0.038692,-0.046814,0.176743,0.983139,-22.955790,1.634424,44.632900,-0.436991,0.352135,-0.827666,-24.3591175,2.7652514,41.9749756,3.21133232,Building,Surface,3.375549,3.136063,11878710.000000,0.000000,-22.992740,1.635874,44.609520,349.454300,211.044200,1.827142,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.393442094,0,0.919349432,1,1
1765949821801,2025-12-17 13:37:01.801,1017.320000,2.081665,23,10,2,0.013675,0.007588,-0.039102,-0.112000,0.160233,0.980698,-22.983170,1.636813,44.650520,-0.384020,0.334211,-0.860708,-24.2061234,2.7011447,41.9095001,3.18458772,Building,Surface,3.425568,3.076660,46987490.000000,0.000000,-22.992350,1.636120,44.609420,349.407100,211.177600,1.818203,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.393442094,0,0.919349432,1,1
1765949821812,2025-12-17 13:37:01.812,1017.331000,2.092712,23,10,2,0.000033,0.007132,-0.039249,-0.157974,0.147247,0.976395,-22.970990,1.636123,44.643270,-0.346034,0.320006,-0.881953,-24.0669498,2.64964771,41.8499451,3.16718125,Building,Surface,3.348236,3.062088,743460400.000000,0.000012,-22.991880,1.636362,44.609290,349.360700,211.301700,1.810721,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.393442094,0,0.919349432,1,1
1765949821824,2025-12-17 13:37:01.824,1017.342000,2.103943,23,10,2,-0.007190,0.006916,-0.039400,-0.154877,0.152512,0.976074,-22.964270,1.635815,44.639370,-0.348588,0.326143,-0.878684,-24.0703087,2.67063951,41.8513794,3.17286539,Building,Surface,3.239349,3.062149,743460400.000000,0.000012,-22.991390,1.636563,44.609110,349.300900,211.362700,1.826606,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.393442094,0,0.919349432,1,1
1765949821835,2025-12-17 13:37:01.835,1017.353000,2.114868,23,10,2,-0.007190,0.006916,-0.039400,-0.154877,0.152512,0.976074,-22.963770,1.635970,44.639130,-0.348539,0.326914,-0.878416,-24.0699558,2.67352366,41.8512268,3.17372942,Building,Surface,3.239349,3.062149,743460400.000000,0.000012,-22.990890,1.636758,44.608870,349.249100,211.372900,1.852891,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.393442094,0,0.919349432,1,1
1765949821846,2025-12-17 13:37:01.846,1017.364000,2.126038,23,10,2,-0.013423,0.006715,-0.039415,-0.145386,0.143265,0.978943,-22.957930,1.635688,44.635630,-0.358858,0.319646,-0.876948,-24.0932617,2.64696264,41.8611984,3.16371822,Building,Surface,3.261093,2.980835,47514870.000000,0.000003,-22.990340,1.636922,44.608670,349.185900,211.363200,1.874601,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.393442094,0,0.919349432,1,1
1765949821856,2025-12-17 13:37:01.856,1017.375000,2.137146,23,10,2,-0.016033,0.006602,-0.039176,-0.165985,0.122177,0.978516,-22.955180,1.635695,44.633800,-0.342539,0.299009,-0.890636,-24.031662,2.57537651,41.8348389,3.14260983,Building,Surface,3.225250,2.935257,747671200.000000,0.000000,-22.989640,1.637113,44.608380,349.136600,211.292400,1.874736,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.393442094,0,0.919349432,1,1
1765949821868,2025-12-17 13:37:01.868,1017.386000,2.148254,23,10,2,-0.016033,0.006602,-0.039176,-0.165985,0.122177,0.978516,-22.954560,1.635841,44.633570,-0.340943,0.299966,-0.890926,-24.0264435,2.57889843,41.8326073,3.14383459,Building,Surface,3.225250,2.935257,747671200.000000,0.000000,-22.988980,1.637299,44.608090,349.078200,211.200000,1.875034,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off,,0.393442094,0,0.919349432,1,1
