Timestamp,UnixTimestamp,RecordingTime(s),SceneTime(s),NodeID,TargetID,PositionX,PositionY,PositionZ,DecTime(s)
2025-12-29 11:55:33.422,1766980533422,25.0071,2.054243,15,0,-25.9000,-0.0500,27.1000,5.5150
2025-12-29 11:55:38.937,1766980538937,30.5269,7.573977,16,0,-13.4000,-0.0500,33.0700,15.2150
2025-12-29 11:55:54.152,1766980554152,45.7423,22.789450,10,0,-22.5000,-0.0500,44.7000,3.2560
2025-12-29 11:55:57.408,1766980557408,48.9965,26.043610,9,0,-32.1000,-0.0500,49.4000,2.6420
2025-12-29 11:56:00.050,1766980560050,51.6398,28.686890,8,0,-39.1000,-0.0500,52.3000,2.5210
2025-12-29 11:56:02.571,1766980562571,54.1610,31.208090,12,0,-50.2000,-0.0500,38.8000,0.2560
2025-12-29 11:56:02.827,1766980562827,54.4166,31.463670,12,0,-50.2000,-0.0500,38.8000,3.0320
2025-12-29 11:56:05.859,1766980565859,57.4486,34.495710,18,0,-55.2000,-0.0500,23.0000,0.2770
2025-12-29 11:56:06.136,1766980566136,57.7259,34.773060,18,0,-55.2000,-0.0500,23.0000,3.7550
2025-12-29 11:56:09.891,1766980569891,61.4799,38.527020,19,0,-58.3000,-0.0500,14.5000,0.0560
2025-12-29 11:56:09.947,1766980569947,61.5353,38.582450,0,2,-71.5000,0.9538,0.5200,0.0000
