TaskOrder,ParticipantID,SourceFile,Timestamp,FrameIndex,SceneID,NodeID,GazeValid,HitStatus,Category,ObjectName,HitPointX,HitPointY,HitPointZ,HitDistance,DeltaTime,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.42420000000004,3846,23,12,1,ValidHit,commercial,C6,-66.5349579,3.74359941,48.5604324,20.7099762,0.0111999996,-49.122139,1.64767504,37.5466194,-0.84078598,0.101202004,0.531807005
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.43539999999996,3847,23,12,1,ValidHit,commercial,C6,-61.0035744,3.01488495,50.3035889,17.4839077,0.0110999998,-49.1338005,1.64699101,37.5394096,-0.678885996,0.0782359987,0.730041027
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.44650000000001,3848,23,12,1,ValidHit,commercial,C6,-65.9777298,3.58948398,48.525486,20.2093258,0.0111999996,-49.1232414,1.64772499,37.5449219,-0.833984017,0.0960810035,0.543334007
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.45770000000005,3849,23,12,1,ValidHit,commercial,C6,-66.8362808,3.7568872,48.686676,21.0321217,0.0109000001,-49.1223183,1.647681,37.5459213,-0.842226028,0.100284003,0.529697001
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.46860000000004,3850,23,12,1,ValidHit,commercial,C6,-66.9272156,3.76191211,48.7310677,21.1328716,0.0110999998,-49.1222801,1.64765298,37.5456886,-0.842514992,0.100045003,0.529282987
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.47969999999998,3851,23,12,1,ValidHit,commercial,C6,-59.3541718,3.90999007,51.2268753,17.229084,0.0113000004,-49.1412697,1.645872,37.5370293,-0.592768013,0.131411999,0.794574022
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.49099999999999,3852,23,12,1,ValidHit,commercial,C6,-57.2492676,4.03367758,52.4051361,17.1048031,0.0113000004,-49.1217003,1.64773202,37.5449791,-0.475160003,0.139488995,0.86876601
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.50229999999999,3853,23,12,1,ValidHit,commercial,C6,-57.2541275,4.03314114,52.4024162,17.1048889,0.0108000003,-49.1216812,1.64769697,37.5447502,-0.475443006,0.139458999,0.868615985
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.51310000000001,3854,23,12,1,ValidHit,commercial,C6,-56.2717056,4.26079416,52.9523468,17.1847,0.0111999996,-49.1223488,1.64736199,37.5455093,-0.416025013,0.152077004,0.896531999
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.52430000000004,3855,23,12,1,ValidHit,commercial,C6,-56.2923203,4.32024384,52.9408035,17.1921387,0.0111999996,-49.1223793,1.647295,37.5454483,-0.417044997,0.155474007,0.895482004
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.53549999999996,3856,23,12,1,ValidHit,commercial,C6,-56.241066,4.50784063,52.9694977,17.2271557,0.0109000001,-49.1101303,1.64844501,37.5503998,-0.413931012,0.165979996,0.895035982
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.54639999999995,3857,23,12,1,ValidHit,commercial,C6,-56.2423515,4.50645065,52.9687767,17.2270031,0.0110999998,-49.1100502,1.64842403,37.5502281,-0.414014012,0.165902004,0.895012021
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.5575,3858,23,12,1,ValidHit,commercial,C6,-56.2740364,4.24878407,52.9510384,17.1834202,0.0110999998,-49.1221504,1.64731705,37.5447807,-0.416202992,0.151391998,0.89656502
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.56859999999995,3859,23,12,1,ValidHit,commercial,C6,-56.2890625,4.31620646,52.942627,17.1925354,0.0111999996,-49.1221008,1.64725304,37.5447502,-0.416862011,0.155238003,0.895608008
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.57979999999998,3860,23,12,1,ValidHit,commercial,C6,-56.283989,4.32012415,52.9454689,17.1937218,0.0110999998,-49.1220016,1.64727402,37.5446281,-0.41654399,0.155453995,0.895718992
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.59090000000003,3861,23,12,1,ValidHit,commercial,C6,-56.20084,4.46234941,52.9920158,17.2241154,0.0109999999,-49.1101494,1.64839697,37.5494118,-0.411669999,0.163371995,0.896564007
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.6019,3862,23,12,1,ValidHit,commercial,C6,-56.1450272,4.40472841,53.0232544,17.2200413,0.0111999996,-49.1140404,1.64796495,37.5476189,-0.408298999,0.160089001,0.898690999
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.61310000000003,3863,23,12,1,ValidHit,commercial,C6,-55.9458542,4.50069809,53.1347427,17.2559891,0.0109999999,-49.1200981,1.64730704,37.5451202,-0.39555499,0.165354997,0.903424025
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.6241,3864,23,12,1,ValidHit,commercial,C6,-55.9458313,4.49661732,53.134758,17.255537,0.0113000004,-49.1200294,1.64730501,37.5449104,-0.395568013,0.165123001,0.903460979
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.6354,3865,23,12,1,ValidHit,commercial,C6,-55.9078064,4.34510708,53.1560402,17.235548,0.0109999999,-49.1213799,1.64716494,37.5442009,-0.393741995,0.156532004,0.905784011
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.64639999999997,3866,23,12,1,ValidHit,commercial,C6,-55.9138947,4.35297871,53.1526337,17.2362804,0.0110999998,-49.1231499,1.64700496,37.543251,-0.39397499,0.156991005,0.905601025
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.65750000000003,3867,23,12,1,ValidHit,commercial,C6,-55.9390259,4.51631165,53.1385651,17.2601357,0.0110999998,-49.1196404,1.64742696,37.5444107,-0.395090997,0.166213006,0.90346998
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.66859999999997,3868,23,12,1,ValidHit,commercial,C6,-55.934021,4.52978134,53.1413689,17.2631302,0.0113000004,-49.1195297,1.64746904,37.5442314,-0.394739002,0.166961998,0.903486013
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.67989999999998,3869,23,12,1,ValidHit,commercial,C6,-55.897789,4.38929939,53.1616516,17.244463,0.0109999999,-49.1209183,1.64734805,37.5434799,-0.392984003,0.159003004,0.905682027
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.69090000000006,3870,23,12,1,ValidHit,commercial,C6,-55.9087524,4.41384935,53.1555138,17.2473145,0.0109999999,-49.122551,1.64721501,37.5425987,-0.393458009,0.160407007,0.905223012
92,Eye_ID2550787_Task92_1766388497397,Eye_ID2550787_Task92_1766388497397.csv,738.70190000000002,3871,23,12,1,ValidHit,commercial,C6,-55.912178,4.4263916,53.1535988,17.2491837,0.0111999996,-49.1224403,1.64729595,37.5423698,-0.393620014,0.161111996,0.905026972
