UnixTimestamp,Timestamp,RecordingTime,SceneTime,SceneID,NodeID,GazeIndex,GazeOriginLocalX,GazeOriginLocalY,GazeOriginLocalZ,GazeDirectionLocalX,GazeDirectionLocalY,GazeDirectionLocalZ,GazeOriginWorldX,GazeOriginWorldY,GazeOriginWorldZ,GazeDirectionWorldX,GazeDirectionWorldY,GazeDirectionWorldZ,HitPointX,HitPointY,HitPointZ,HitDistance,HitObjectName,HitObjectTag,LeftPupilDiameter,RightPupilDiameter,LeftEyeOpenness,RightEyeOpenness,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationEulerX,HMDRotationEulerY,HMDRotationEulerZ,CameraFOV_V,CameraFOV_H,CameraNearClip,CameraFarClip,CameraAspectRatio,CameraPixelWidth,CameraPixelHeight,CameraFocalLength,TaskHintPanel
1766642675574,2025-12-25 14:04:35.574,320.793600,2.063812,23,1,2,-0.027926,0.016664,-0.062141,0.149262,-0.091324,0.984558,-85.438980,1.666372,66.961580,-0.110337,0.186810,0.976167,0.000000,0.000000,0.000000,0.000000,0,0,-1.000000,3.865036,672.956200,0.000000,-85.428600,1.668137,67.030910,344.026600,344.678100,1.452403,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766642675586,2025-12-25 14:04:35.586,320.805100,2.075287,23,1,2,-0.027926,0.016664,-0.062141,0.149262,-0.091324,0.984558,-85.438550,1.666401,66.961750,-0.110382,0.186443,0.976232,-86.434490,3.348621,75.770000,9.022588,Target10,Target,-1.000000,3.865036,672.956200,0.000000,-85.428180,1.668129,67.031090,344.041500,344.680700,1.407487,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766642675597,2025-12-25 14:04:35.597,320.815700,2.085907,23,1,2,-0.027923,0.016509,-0.061482,0.129929,-0.026337,0.991165,-85.438280,1.666463,66.962630,-0.127315,0.249863,0.959866,-86.606470,3.959113,75.770000,9.175547,Target10,Target,-1.000000,4.115509,2675.700000,0.000000,-85.427730,1.668110,67.031320,344.056900,344.698300,1.341324,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766642675608,2025-12-25 14:04:35.608,320.827100,2.097321,23,1,2,-0.027871,0.015780,-0.058171,0.147156,-0.057846,0.987412,-85.438650,1.666705,66.966040,-0.111021,0.218252,0.969548,-86.446780,3.648540,75.770000,9.080400,Target10,Target,-1.000000,4.207245,42.053910,0.000000,-85.427270,1.668081,67.031450,344.088100,344.720200,1.279871,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766642675619,2025-12-25 14:04:35.619,320.837900,2.108124,23,1,2,-0.027871,0.015780,-0.058171,0.147156,-0.057846,0.987412,-85.438150,1.666735,66.966220,-0.110655,0.217549,0.969748,-86.442720,3.641734,75.770000,9.078346,Target10,Target,-1.000000,4.207245,42.053910,0.000000,-85.426750,1.668049,67.031620,344.121600,344.747500,1.223530,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766642675630,2025-12-25 14:04:35.630,320.849000,2.119232,23,1,1,-0.027896,0.015797,-0.058279,0.146820,0.093933,0.984680,-85.437750,1.666728,66.966320,-0.101903,0.362079,0.926547,0.000000,0.000000,0.000000,0.000000,0,0,-1.000000,3.996078,10638.300000,0.000000,-85.426330,1.667999,67.031840,344.157200,344.784000,1.182948,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766642675641,2025-12-25 14:04:35.641,320.860400,2.130585,23,1,2,-0.027901,0.015707,-0.057874,0.171799,-0.079163,0.981934,-85.437390,1.666737,66.966880,-0.085663,0.194813,0.977080,-86.209180,3.421932,75.770000,9.009510,Target10,Target,-1.000000,4.111542,169.219500,0.000000,-85.425830,1.667936,67.032000,344.179500,344.811000,1.131438,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766642675652,2025-12-25 14:04:35.652,320.871300,2.141510,23,1,2,-0.027913,0.015748,-0.058049,0.167587,-0.038773,0.985077,-85.436900,1.666603,66.966870,-0.088064,0.233923,0.968241,-86.237570,3.793397,75.770000,9.091719,Target10,Target,-1.000000,4.178192,2675.574000,0.000000,-85.425380,1.667760,67.032170,344.200200,344.835700,1.069779,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766642675663,2025-12-25 14:04:35.663,320.882400,2.152618,23,1,2,-0.027913,0.015748,-0.058049,0.167587,-0.038773,0.985077,-85.436400,1.666570,66.967000,-0.087848,0.233332,0.968403,-86.234950,3.787605,75.770000,9.090062,Target10,Target,-1.000000,4.178192,2675.574000,0.000000,-85.424870,1.667670,67.032300,344.224200,344.853300,1.002481,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766642675675,2025-12-25 14:04:35.675,320.893400,2.163666,23,1,1,-0.027896,0.015797,-0.058279,0.146820,0.093933,0.984680,-85.435870,1.666448,66.966890,-0.100051,0.360569,0.927337,0.000000,0.000000,0.000000,0.000000,0,0,-1.000000,3.996078,660.862500,0.000000,-85.424400,1.667555,67.032400,344.219700,344.886300,0.975783,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
