UnixTimestamp,Timestamp,RecordingTime,SceneTime,SceneID,NodeID,GazeIndex,GazeOriginLocalX,GazeOriginLocalY,GazeOriginLocalZ,GazeDirectionLocalX,GazeDirectionLocalY,GazeDirectionLocalZ,GazeOriginWorldX,GazeOriginWorldY,GazeOriginWorldZ,GazeDirectionWorldX,GazeDirectionWorldY,GazeDirectionWorldZ,HitPointX,HitPointY,HitPointZ,HitDistance,HitObjectName,HitObjectTag,LeftPupilDiameter,RightPupilDiameter,LeftEyeOpenness,RightEyeOpenness,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationEulerX,HMDRotationEulerY,HMDRotationEulerZ,CameraFOV_V,CameraFOV_H,CameraNearClip,CameraFarClip,CameraAspectRatio,CameraPixelWidth,CameraPixelHeight,CameraFocalLength,TaskHintPanel
1765784351845,2025-12-15 15:39:11.845,85.867160,2.055695,23,10,2,0.021476,0.012917,-0.056340,0.248261,0.213471,0.944870,-22.584510,1.678791,44.498830,-0.575103,0.328538,-0.749200,0.000000,0.000000,0.000000,0.000000,0,0,2.908981,2.650650,0.000626,0.000000,-22.586290,1.673119,44.437450,352.826700,202.203500,359.710200,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1765784351856,2025-12-15 15:39:11.856,85.877490,2.066032,23,10,2,0.021476,0.012917,-0.056340,0.248261,0.213471,0.944870,-22.584790,1.678973,44.499430,-0.584155,0.331788,-0.740718,-24.248650,2.624011,42.389630,2.848293,Target25,Target,2.908981,2.650650,0.000626,0.000000,-22.587350,1.673533,44.438060,352.610800,202.924700,359.668500,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1765784351867,2025-12-15 15:39:11.867,85.888850,2.077393,23,10,2,-0.011803,0.010823,-0.053811,0.143997,0.269028,0.952301,-22.555640,1.677602,44.484220,-0.497787,0.391610,-0.773847,-23.999370,2.813381,42.239850,2.900266,Target25,Target,2.763626,2.814255,0.000039,0.000000,-22.588360,1.673910,44.438740,352.405000,203.639200,359.631800,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1765784351878,2025-12-15 15:39:11.878,85.899640,2.088173,23,10,2,0.010890,0.011979,-0.054960,0.152557,0.216415,0.964294,-22.576270,1.678604,44.495030,-0.522073,0.343993,-0.780437,-24.060360,2.656467,42.276490,2.842642,Target25,Target,2.775238,2.871628,0.000039,0.000000,-22.589380,1.674258,44.439420,352.213300,204.335400,359.594400,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1765784351889,2025-12-15 15:39:11.889,85.910770,2.099312,23,10,2,0.010890,0.011979,-0.054960,0.152557,0.216415,0.964294,-22.576590,1.678788,44.495590,-0.531591,0.346640,-0.772803,-24.090560,2.666019,42.294640,2.847965,Target25,Target,2.775238,2.871628,0.000039,0.000000,-22.590380,1.674624,44.440140,352.039200,205.053600,359.532500,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1765784351900,2025-12-15 15:39:11.900,85.921940,2.110474,23,10,2,0.025994,0.012828,-0.055989,0.160812,0.185547,0.969376,-22.590110,1.679513,44.503700,-0.552272,0.319460,-0.770013,-24.149220,2.581375,42.329890,2.823053,Target25,Target,2.720306,2.804443,0.010022,0.000000,-22.591470,1.674976,44.440830,351.860800,205.774700,359.477200,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1765784351911,2025-12-15 15:39:11.911,85.932990,2.121529,23,10,2,0.011172,0.010619,-0.050214,0.064789,0.216904,0.974030,-22.579740,1.678461,44.492430,-0.476186,0.354774,-0.804588,-23.935590,2.688611,42.201520,2.847277,Target25,Target,2.700653,2.732498,0.009779,0.000000,-22.592500,1.675323,44.441570,351.688400,206.511700,359.425700,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1765784351922,2025-12-15 15:39:11.922,85.944110,2.132652,23,10,2,0.011172,0.010619,-0.050214,0.064789,0.216904,0.974030,-22.580110,1.678596,44.493020,-0.486172,0.357715,-0.797280,-23.966220,2.698466,42.219930,2.851034,Target25,Target,2.700653,2.732498,0.009779,0.000000,-22.593520,1.675637,44.442330,351.503000,207.247400,359.361100,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1765784351933,2025-12-15 15:39:11.933,85.955160,2.143700,23,10,2,0.009061,0.010557,-0.050378,0.052795,0.211655,0.975906,-22.578600,1.678725,44.492690,-0.486413,0.355616,-0.798072,-23.964460,2.691928,42.218870,2.849116,Target25,Target,2.780060,2.637466,0.009779,0.000000,-22.594580,1.675989,44.443010,351.334700,207.964600,359.298700,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1765784351945,2025-12-15 15:39:11.945,85.966320,2.154854,23,10,2,0.025994,0.012828,-0.055989,0.160812,0.185547,0.969376,-22.591020,1.680028,44.506530,-0.588922,0.330048,-0.737711,-24.270490,2.621249,42.402750,2.851734,Target25,Target,2.720306,2.804443,0.000039,0.000000,-22.595500,1.676289,44.443750,351.168700,208.641300,359.240600,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
