UnixTimestamp,Timestamp,RecordingTime,SceneTime,SceneID,NodeID,GazeIndex,GazeOriginLocalX,GazeOriginLocalY,GazeOriginLocalZ,GazeDirectionLocalX,GazeDirectionLocalY,GazeDirectionLocalZ,GazeOriginWorldX,GazeOriginWorldY,GazeOriginWorldZ,GazeDirectionWorldX,GazeDirectionWorldY,GazeDirectionWorldZ,HitPointX,HitPointY,HitPointZ,HitDistance,HitObjectName,HitObjectTag,LeftPupilDiameter,RightPupilDiameter,LeftEyeOpenness,RightEyeOpenness,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationEulerX,HMDRotationEulerY,HMDRotationEulerZ,CameraFOV_V,CameraFOV_H,CameraNearClip,CameraFarClip,CameraAspectRatio,CameraPixelWidth,CameraPixelHeight,CameraFocalLength,TaskHintPanel
1766728101564,2025-12-26 13:48:21.564,2747.885000,2.060547,23,10,2,0.031478,-0.002342,-0.035873,0.124924,0.602585,0.788193,-22.879130,1.581004,44.708760,0.024970,0.312870,-0.949448,0.000000,0.000000,0.000000,0.000000,0,0,5.185226,-1.000000,0.000000,0.000000,-22.842110,1.572433,44.679780,18.815630,169.973800,358.494800,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101575,2025-12-26 13:48:21.575,2747.896000,2.071777,23,10,2,0.031426,-0.002638,-0.035181,0.128494,0.608704,0.782913,-22.879570,1.580294,44.708190,0.017014,0.318373,-0.947805,-22.822570,2.646940,41.532750,3.350278,Target25,Target,5.304367,-1.000000,0.000000,0.000000,-22.842790,1.572234,44.679650,18.912830,170.123400,358.364700,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101586,2025-12-26 13:48:21.586,2747.907000,2.082520,23,10,2,0.031426,-0.002638,-0.035181,0.128494,0.608704,0.782913,-22.880190,1.580114,44.708260,0.013145,0.316348,-0.948544,-22.836300,2.636424,41.541000,3.339049,Target25,Target,5.304367,-1.000000,0.000000,0.000000,-22.843510,1.572037,44.679610,19.022800,170.303600,358.270900,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101597,2025-12-26 13:48:21.597,2747.918000,2.093750,23,10,2,-0.008626,-0.004108,-0.035344,0.211563,0.623657,0.752518,-22.841350,1.579862,44.715050,-0.077083,0.336318,-0.938583,-23.089530,2.662680,41.693160,3.219611,Target25,Target,5.291016,5.436172,0.000000,0.000000,-22.844260,1.571914,44.679420,19.113880,170.496900,358.205800,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101608,2025-12-26 13:48:21.608,2747.929000,2.104980,23,10,2,-0.024542,-0.004710,-0.035524,0.236679,0.639496,0.731445,-22.826200,1.579786,44.717590,-0.108518,0.355998,-0.928156,-23.173880,2.720377,41.743840,3.203904,Target25,Target,5.295303,5.584457,0.000000,0.000000,-22.844920,1.571803,44.679220,19.187230,170.684500,358.138400,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101620,2025-12-26 13:48:21.620,2747.940000,2.115967,23,10,2,-0.024542,-0.004710,-0.035524,0.236679,0.639496,0.731445,-22.826810,1.579747,44.717310,-0.112362,0.354961,-0.928096,-23.185930,2.714216,41.751080,3.196010,Target25,Target,5.295303,5.584457,0.000000,0.000000,-22.845680,1.571712,44.679020,19.239990,170.891300,358.089300,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101631,2025-12-26 13:48:21.631,2747.952000,2.127197,23,10,2,0.031431,-0.003624,-0.034229,0.117737,0.701660,0.702698,-22.882560,1.578406,44.707550,-0.001461,0.425896,-0.904756,-22.887620,3.054477,41.571840,3.465758,Target25,Target,5.682968,-1.000000,0.000000,0.000000,-22.846410,1.571516,44.678940,19.296460,171.101800,358.062600,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101642,2025-12-26 13:48:21.642,2747.963000,2.138428,23,10,2,-0.008626,-0.004108,-0.035344,0.211563,0.623657,0.752518,-22.843670,1.579479,44.714310,-0.092588,0.332297,-0.938614,-23.138770,2.638580,41.722740,3.187199,Target25,Target,5.291016,5.436172,0.000000,0.000000,-22.847120,1.571379,44.678770,19.327270,171.348300,358.043900,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101653,2025-12-26 13:48:21.653,2747.974000,2.149414,23,10,2,-0.024542,-0.004710,-0.035524,0.236679,0.639496,0.731445,-22.828600,1.579466,44.716620,-0.123794,0.352901,-0.927427,-23.221580,2.699752,41.772500,3.174478,Target25,Target,5.295303,5.584457,0.000002,0.000000,-22.847930,1.571347,44.678590,19.366280,171.591900,358.070800,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101664,2025-12-26 13:48:21.664,2747.985000,2.160400,23,10,2,-0.024542,-0.004710,-0.035524,0.236679,0.639496,0.731445,-22.829210,1.579489,44.716340,-0.127229,0.353179,-0.926856,-23.232420,2.698759,41.779010,3.169100,Target25,Target,5.295303,5.584457,0.000002,0.000000,-22.848710,1.571396,44.678380,19.364770,171.845300,358.130700,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101676,2025-12-26 13:48:21.676,2747.996000,2.171631,23,10,2,0.031454,-0.003622,-0.034243,0.120712,0.695419,0.708374,-22.885120,1.578508,44.707330,-0.017224,0.417442,-0.908525,-22.943920,3.003635,41.605670,3.413903,Target25,Target,5.593964,-1.000000,0.000038,0.000000,-22.849430,1.571498,44.678140,19.357500,172.075700,358.215200,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101687,2025-12-26 13:48:21.687,2748.007000,2.182617,23,10,2,-0.011579,-0.004472,-0.035735,0.203613,0.658249,0.724731,-22.843220,1.579608,44.714290,-0.100925,0.375206,-0.921423,-23.168900,2.790399,41.740850,3.226983,Target25,Target,5.361618,-1.000000,0.000038,0.000000,-22.850110,1.571668,44.677950,19.321300,172.286100,358.243700,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101698,2025-12-26 13:48:21.698,2748.018000,2.193848,23,10,2,-0.011579,-0.004472,-0.035735,0.203613,0.658249,0.724731,-22.843740,1.579672,44.714090,-0.103318,0.376026,-0.920824,-23.176810,2.791877,41.745600,3.223707,Target25,Target,5.361618,-1.000000,0.000038,0.000000,-22.850760,1.571768,44.677760,19.286510,172.486000,358.318100,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101709,2025-12-26 13:48:21.709,2748.029000,2.204834,23,10,2,-0.005716,-0.004454,-0.035284,0.177353,0.682266,0.709259,-22.850040,1.579429,44.712800,-0.080598,0.405162,-0.910680,-23.115880,2.915823,41.709000,3.298403,Target25,Target,5.440292,5.683594,0.000001,0.000000,-22.851380,1.571842,44.677610,19.260220,172.648200,358.388600,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101720,2025-12-26 13:48:21.720,2748.041000,2.216064,23,10,2,0.031652,-0.003283,-0.035388,0.100006,0.675873,0.730194,-22.887720,1.579625,44.708020,-0.003625,0.394422,-0.918916,-22.900060,2.922541,41.579320,3.404751,Target25,Target,5.420929,-1.000000,0.000001,0.000000,-22.852080,1.571861,44.677450,19.258430,172.831400,358.448600,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101731,2025-12-26 13:48:21.731,2748.052000,2.227051,23,10,2,0.031741,-0.003194,-0.035480,0.088287,0.664291,0.742233,-22.888220,1.579789,44.708060,0.005559,0.380225,-0.924871,-22.869300,2.873648,41.560830,3.402859,Target25,Target,5.166168,-1.000000,0.000153,0.000000,-22.852590,1.571936,44.677300,19.231710,173.049500,358.434400,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101742,2025-12-26 13:48:21.742,2748.063000,2.238281,23,10,2,0.031741,-0.003194,-0.035480,0.088287,0.664291,0.742233,-22.888540,1.579841,44.707990,0.001891,0.381092,-0.924529,-22.882120,2.873929,41.568530,3.395719,Target25,Target,5.166168,-1.000000,0.000153,0.000000,-22.853030,1.572026,44.677100,19.176660,173.267600,358.425500,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101753,2025-12-26 13:48:21.753,2748.074000,2.249268,23,10,2,0.032049,-0.003115,-0.035783,0.074005,0.667206,0.741165,-22.889220,1.580115,44.708180,0.011994,0.385330,-0.922683,-22.848140,2.899814,41.548120,3.424797,Target25,Target,5.181946,-1.000000,0.000153,0.000000,-22.853470,1.572227,44.676920,19.118480,173.434800,358.316200,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101763,2025-12-26 13:48:21.763,2748.085000,2.260254,23,10,2,0.031652,-0.003283,-0.035388,0.100006,0.675873,0.730194,-22.889110,1.579894,44.707780,-0.017592,0.397567,-0.917399,-22.948540,2.923033,41.608440,3.378377,Target25,Target,5.420929,-1.000000,0.000039,0.000000,-22.853850,1.572371,44.676710,19.035190,173.541900,358.244400,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101775,2025-12-26 13:48:21.775,2748.096000,2.271484,23,10,2,0.031652,-0.003283,-0.035388,0.100006,0.675873,0.730194,-22.889440,1.579906,44.707690,-0.018338,0.399222,-0.916665,-22.951400,2.928925,41.610160,3.379102,Target25,Target,5.420929,-1.000000,0.000039,0.000000,-22.854210,1.572435,44.676570,18.933170,173.596800,358.262400,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
1766728101786,2025-12-26 13:48:21.786,2748.107000,2.282715,23,10,2,0.031741,-0.003194,-0.035480,0.088287,0.664291,0.742233,-22.889800,1.580032,44.707640,-0.005475,0.385078,-0.922861,-22.908330,2.883299,41.584290,3.384403,Target25,Target,5.166168,-1.000000,0.000156,0.000000,-22.854480,1.572458,44.676470,18.910870,173.603000,358.273300,104.047200,98.172010,0.300000,1000.000000,0.900730,2468,2740,50.000000,off
