TaskOrder,ParticipantID,SourceFile,Timestamp,FrameIndex,SceneID,NodeID,GazeValid,HitStatus,Category,ObjectName,HitPointX,HitPointY,HitPointZ,HitDistance,DeltaTime,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.5930000000001,2223,23,12,1,ValidHit,commercial,C2,-79.9046936,10.881937,54.9442749,35.0192184,0.0109999999,-50.2893486,1.66158295,38.6881485,-0.845685005,0.263292998,0.464204013
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.604,2224,23,12,1,ValidHit,commercial,C2,-79.9047089,8.89882851,53.4034309,33.8514481,0.0109999999,-50.2899818,1.661461,38.6891594,-0.874840021,0.213797003,0.434670001
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.615,2225,23,12,1,ValidHit,commercial,C2,-79.9047012,8.96780491,53.3689842,33.8513412,0.0109999999,-50.2897186,1.66157699,38.6895714,-0.874850988,0.215831995,0.433642
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.626,2226,23,12,1,ValidHit,commercial,C2,-79.9047012,8.62268066,51.5672684,33.0358849,0.0120000001,-50.2890282,1.66171396,38.6899109,-0.896456003,0.210705996,0.389793009
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.6379999999999,2227,23,12,1,ValidHit,roof,roof,-79.3831558,11.000001,54.5473251,34.4263763,0.0109999999,-50.2882385,1.66191196,38.6897812,-0.84513098,0.271247,0.460619986
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.6489999999999,2228,23,12,1,ValidHit,commercial,C2,-79.9047012,9.15555954,53.2886543,33.8578415,0.0109999999,-50.2887802,1.66188002,38.6908684,-0.874710977,0.221327007,0.431147993
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.6600000000001,2229,23,12,1,ValidHit,commercial,C2,-79.9047012,9.20785332,53.2731171,33.8628082,0.0109999999,-50.2884903,1.66197395,38.6912994,-0.874590993,0.222836003,0.430613011
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.671,2230,23,12,1,ValidHit,commercial,C2,-79.9047012,8.53257942,51.6337204,33.0432587,0.0109999999,-50.2878609,1.66205704,38.6917,-0.896296024,0.207922995,0.391665012
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.682,2231,23,12,1,ValidHit,commercial,C2,-79.9047012,8.5270853,51.6251793,33.0388069,0.0109999999,-50.2876282,1.66204298,38.6921692,-0.896418989,0.207783997,0.391443014
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.693,2232,23,12,1,ValidHit,commercial,C2,-79.9047089,8.57910252,51.6233673,33.0490303,0.0109999999,-50.2873306,1.66206706,38.6926003,-0.896151006,0.209292993,0.391254008
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.704,2233,23,12,1,ValidHit,commercial,C2,-79.9047012,8.81035423,51.7122536,33.1330986,0.0109999999,-50.2870598,1.66211402,38.6930389,-0.893894017,0.215742007,0.392935008
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.7149999999999,2234,23,12,1,ValidHit,commercial,C2,-79.9047012,8.7054472,51.5940475,33.0644531,0.0109999999,-50.2866898,1.66219294,38.6935081,-0.895757973,0.213014007,0.390159994
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.7260000000001,2235,23,12,1,ValidHit,commercial,C2,-79.9047012,7.78210163,51.6776581,32.9130554,0.0109999999,-50.2864304,1.662256,38.6940193,-0.899881005,0.185937002,0.39447701
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.7370000000001,2236,23,12,1,ValidHit,commercial,C2,-79.9046936,7.84732294,51.6979141,32.933342,0.0120000001,-50.2861099,1.66228104,38.6944809,-0.89933598,0.187802002,0.394834995
138,Eye_ID2551060_Task138_1767074161812,Eye_ID2551060_Task138_1767074161812.csv,1287.749,2237,23,12,1,ValidHit,commercial,C2,-79.9047089,9.04891777,51.7748718,33.2104454,0.0109999999,-50.2856407,1.66237605,38.6949615,-0.891855001,0.222415,0.393846989
