Timestamp,UnixTimestamp,RecordingTime(s),SceneTime(s),NodeID,TargetID,PositionX,PositionY,PositionZ,DecTime(s)
2025-12-14 15:40:02.338,1765698002338,552.3039,2.038452,15,0,-25.9000,0.1300,27.1000,8.5270
2025-12-14 15:40:10.865,1765698010865,560.8332,10.567750,16,0,-13.4000,0.1300,33.0700,15.3720
2025-12-14 15:40:26.237,1765698026237,576.2048,25.939390,10,0,-22.5000,0.1300,44.7000,5.0530
2025-12-14 15:40:31.290,1765698031290,580.6321,30.366640,9,0,-32.1000,0.1300,49.4000,3.9420
2025-12-14 15:40:35.232,1765698035232,583.9639,33.698490,8,0,-39.1000,0.1300,52.3000,3.9760
2025-12-14 15:40:39.208,1765698039208,587.3337,37.068300,4,0,-38.5000,0.1300,67.4000,10.1290
2025-12-14 15:40:49.337,1765698049337,596.9664,46.700930,3,0,-54.9000,0.1300,68.3000,6.2850
2025-12-14 15:40:55.622,1765698055622,602.6972,52.431760,2,0,-74.4000,0.1300,66.8000,6.6200
2025-12-14 15:41:02.242,1765698062242,608.7632,58.497740,1,0,-85.6000,0.1300,67.1000,12.3610
2025-12-14 15:41:14.603,1765698074603,621.1243,70.858890,2,0,-74.4000,0.1300,66.8000,3.4650
2025-12-14 15:41:18.068,1765698078068,624.0137,73.748230,27,0,-71.5000,0.1300,54.5000,3.5430
2025-12-14 15:41:21.611,1765698081611,626.9785,76.713010,24,0,-74.5000,0.1300,42.0000,10.7280
2025-12-14 15:41:32.339,1765698092339,637.1239,86.858460,28,0,-77.6000,0.1300,44.5000,3.2320
2025-12-14 15:41:35.571,1765698095571,639.9474,89.682010,29,0,-85.7000,0.1300,44.2000,5.6980
2025-12-14 15:41:41.269,1765698101269,645.1382,94.872740,30,0,-85.7000,0.1300,55.1000,11.5830
2025-12-14 15:41:52.852,1765698112852,656.7218,106.456400,1,0,-85.6000,0.1300,67.1000,5.0430
2025-12-14 15:41:57.895,1765698117895,661.7640,111.498500,2,0,-74.4000,0.1300,66.8000,2.8430
2025-12-14 15:42:00.738,1765698120738,664.6072,114.341700,3,0,-54.9000,0.1300,68.3000,3.3770
2025-12-14 15:42:04.115,1765698124115,667.4657,117.200300,7,0,-44.1000,0.1300,58.4000,3.8750
2025-12-14 15:42:07.990,1765698127990,671.3416,121.076200,8,0,-39.1000,0.1300,52.3000,11.5510
2025-12-14 15:42:19.541,1765698139541,682.8922,132.626700,9,0,-32.1000,0.1300,49.4000,2.8320
2025-12-14 15:42:22.373,1765698142373,685.7240,135.458600,10,0,-22.5000,0.1300,44.7000,7.4520
2025-12-14 15:42:29.825,1765698149825,693.1763,142.910900,16,0,-13.4000,0.1300,33.0700,20.1570
2025-12-14 15:42:49.982,1765698169982,713.3338,163.068400,15,0,-25.9000,0.1300,27.1000,7.3970
2025-12-14 15:42:57.379,1765698177379,720.7307,170.465300,14,0,-36.1000,0.1300,27.1000,6.0200
2025-12-14 15:43:03.399,1765698183399,726.7500,176.484600,17,0,-44.0000,0.1300,24.4000,0.4990
2025-12-14 15:43:03.898,1765698183898,727.2500,176.984600,0,17,-43.7700,1.7500,22.1440,0.0000
