Timestamp,UnixTimestamp,RecordingTime(s),SceneTime(s),NodeID,TargetID,PositionX,PositionY,PositionZ,DecTime(s)
2025-12-26 16:25:29.719,1766737529719,301.0722,2.046936,15,0,-25.9000,0.1000,27.1000,3.0950
2025-12-26 16:25:32.814,1766737532814,304.1707,5.145355,16,0,-13.4000,0.1000,33.0700,29.3540
2025-12-26 16:26:02.168,1766737562168,333.5241,34.498810,10,0,-22.5000,0.1000,44.7000,3.0210
2025-12-26 16:26:05.189,1766737565189,336.5450,37.519680,9,0,-32.1000,0.1000,49.4000,3.7420
2025-12-26 16:26:08.931,1766737568931,340.2878,41.262540,8,0,-39.1000,0.1000,52.3000,2.8990
2025-12-26 16:26:11.830,1766737571830,343.1864,44.161130,12,0,-50.2000,0.1000,38.8000,9.1960
2025-12-26 16:26:21.026,1766737581026,352.3823,53.357030,13,0,-50.2000,0.1000,30.1000,3.3550
2025-12-26 16:26:24.381,1766737584381,355.7364,56.711120,17,0,-44.0000,0.1000,24.4000,0.4890
2025-12-26 16:26:24.870,1766737584870,356.2252,57.199920,0,17,-43.7700,1.7500,22.1440,0.0000
