Timestamp,UnixTimestamp,RecordingTime(s),SceneTime(s),NodeID,TargetID,PositionX,PositionY,PositionZ,DecTime(s)
2025-12-22 13:17:52.800,1766380672800,375.9249,2.049103,15,0,-25.9000,-0.0200,27.1000,4.1560
2025-12-22 13:17:56.956,1766380676956,380.0838,6.208008,16,0,-13.4000,-0.0200,33.0700,11.7170
2025-12-22 13:18:08.673,1766380688673,391.8004,17.924650,10,0,-22.5000,-0.0200,44.7000,2.5100
2025-12-22 13:18:11.183,1766380691183,394.3104,20.434600,9,0,-32.1000,-0.0200,49.4000,2.5430
2025-12-22 13:18:13.726,1766380693726,396.8537,22.977870,8,0,-39.1000,-0.0200,52.3000,3.2760
2025-12-22 13:18:17.002,1766380697002,400.1299,26.254150,11,0,-49.8000,-0.0200,46.2000,2.8210
2025-12-22 13:18:19.823,1766380699823,402.9511,29.075290,26,0,-60.7000,-0.0200,46.8000,2.8540
2025-12-22 13:18:22.677,1766380702677,405.8052,31.929380,24,0,-74.5000,-0.0200,42.0000,2.6330
2025-12-22 13:18:25.310,1766380705310,408.4374,34.561580,28,0,-77.6000,-0.0200,44.5000,3.1870
2025-12-22 13:18:28.497,1766380708497,411.2869,37.411130,29,0,-85.7000,-0.0200,44.2000,3.2990
2025-12-22 13:18:31.796,1766380711796,414.2513,40.375460,30,0,-85.7000,-0.0200,55.1000,2.9320
2025-12-22 13:18:34.728,1766380714728,416.8981,43.022280,1,0,-85.6000,-0.0200,67.1000,2.8210
2025-12-22 13:18:37.549,1766380717549,419.4459,45.570130,2,0,-74.4000,-0.0200,66.8000,3.1540
2025-12-22 13:18:40.703,1766380720703,422.3301,48.454350,3,0,-54.9000,-0.0200,68.3000,3.0760
2025-12-22 13:18:43.779,1766380723779,425.4066,51.530760,7,0,-44.1000,-0.0200,58.4000,6.9530
2025-12-22 13:18:50.732,1766380730732,432.3590,58.483180,8,0,-39.1000,-0.0200,52.3000,4.8420
2025-12-22 13:18:55.574,1766380735574,437.2011,63.325320,9,0,-32.1000,-0.0200,49.4000,2.7320
2025-12-22 13:18:58.306,1766380738306,439.9332,66.057430,10,0,-22.5000,-0.0200,44.7000,3.0430
2025-12-22 13:19:01.349,1766380741349,442.9764,69.100650,16,0,-13.4000,-0.0200,33.0700,17.0030
2025-12-22 13:19:18.352,1766380758352,459.9800,86.104190,15,0,-25.9000,-0.0200,27.1000,2.8660
2025-12-22 13:19:21.218,1766380761218,462.8453,88.969480,14,0,-36.1000,-0.0200,27.1000,2.9980
2025-12-22 13:19:24.216,1766380764216,465.8438,91.968020,13,0,-50.2000,-0.0200,30.1000,3.3110
2025-12-22 13:19:27.527,1766380767527,469.1539,95.278140,18,0,-55.2000,-0.0200,23.0000,2.7530
2025-12-22 13:19:30.280,1766380770280,471.9078,98.031980,19,0,-58.3000,-0.0200,14.5000,3.7650
2025-12-22 13:19:34.045,1766380774045,475.3227,101.446900,21,0,-71.4000,-0.0200,4.9000,5.4750
2025-12-22 13:19:39.520,1766380779520,480.5298,106.654000,22,0,-77.3000,-0.0200,12.7000,2.7550
