TaskOrder,ParticipantID,SourceFile,Timestamp,FrameIndex,SceneID,NodeID,GazeValid,HitStatus,Category,ObjectName,HitPointX,HitPointY,HitPointZ,HitDistance,DeltaTime,GazeOriginX,GazeOriginY,GazeOriginZ,GazeDirectionX,GazeDirectionY,GazeDirectionZ
115,Eye_ID2551676_Task115_1765277426026,Eye_ID2551676_Task115_1765277426026.csv,692.19830000000002,3230,23,12,1,ValidHit,commercial,C3,-53.1845322,1.8893559,19.227932,19.6569023,0.0110999998,-50.0914192,1.83919096,38.6398811,-0.157352999,0.00255200011,-0.987524986
115,Eye_ID2551676_Task115_1765277426026,Eye_ID2551676_Task115_1765277426026.csv,692.20939999999996,3231,23,12,1,ValidHit,commercial,C3,-53.2380104,1.88794672,19.1731625,19.7194386,0.0110999998,-50.0915718,1.839239,38.6399002,-0.159557998,0.00246999995,-0.987170994
115,Eye_ID2551676_Task115_1765277426026,Eye_ID2551676_Task115_1765277426026.csv,692.22050000000002,3232,23,12,1,ValidHit,commercial,C3,-53.2304688,1.89659309,19.1808891,19.7109394,0.0110999998,-50.0936584,1.83937204,38.6405487,-0.159140006,0.00290299999,-0.987249017
115,Eye_ID2551676_Task115_1765277426026,Eye_ID2551676_Task115_1765277426026.csv,692.23159999999996,3233,23,12,1,ValidHit,commercial,C3,-53.0384598,1.84556818,19.3775368,19.487154,0.0110999998,-50.0956116,1.83964396,38.641201,-0.151014,0.000303999986,-0.988525987
115,Eye_ID2551676_Task115_1765277426026,Eye_ID2551676_Task115_1765277426026.csv,692.24270000000001,3234,23,12,1,ValidHit,commercial,C3,-53.0833206,1.84787607,19.3315887,19.5393524,0.0113000004,-50.0957794,1.83976698,38.6411896,-0.152897999,0.000414999988,-0.98823601
115,Eye_ID2551676_Task115_1765277426026,Eye_ID2551676_Task115_1765277426026.csv,692.25400000000002,3235,23,12,1,ValidHit,commercial,C3,-52.8888474,1.61262167,19.5307693,19.3127308,0.0109000001,-50.0854607,1.83916199,38.6376114,-0.145155996,-0.0117300004,-0.989331007
115,Eye_ID2551676_Task115_1765277426026,Eye_ID2551676_Task115_1765277426026.csv,692.26490000000001,3236,23,12,1,ValidHit,commercial,C3,-53.399807,1.91460061,19.0074539,19.9094677,0.0110999998,-50.094429,1.83984005,38.64048,-0.166020006,0.00375499995,-0.986111999
115,Eye_ID2551676_Task115_1765277426026,Eye_ID2551676_Task115_1765277426026.csv,692.27599999999995,3237,23,12,1,ValidHit,commercial,C3,-53.1991653,1.8588531,19.2129478,19.6742916,0.0114000002,-50.0965309,1.84006405,38.6410484,-0.157699004,0.000954999996,-0.987480998
115,Eye_ID2551676_Task115_1765277426026,Eye_ID2551676_Task115_1765277426026.csv,692.28740000000005,3238,23,12,1,ValidHit,commercial,C3,-53.2463303,1.85739446,19.1646423,19.729351,0.0108000003,-50.0967789,1.84013104,38.6409683,-0.159637004,0.000875000027,-0.987169981
115,Eye_ID2551676_Task115_1765277426026,Eye_ID2551676_Task115_1765277426026.csv,692.29819999999995,3239,23,12,1,ValidHit,commercial,C3,-53.2704544,1.49265039,19.1399307,19.756937,0.0110999998,-50.0769691,1.83879602,38.6339912,-0.161636993,-0.0175199993,-0.986683011
